Step,Regret
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.18684293]
2,[0.18684293]
3,[0.18684293]
4,[0.18684293]
5,[0.18684293]
6,[0.18684293]
7,[0.18684293]
8,[0.18684293]
9,[0.18684293]
10,[0.18684293]
11,[0.18684293]
12,[0.18684293]
13,[0.18684293]
14,[0.13024488]
15,[0.13024488]
16,[0.13024488]
17,[0.13024488]
18,[0.04531672]
19,[0.04531672]
20,[0.04531672]
21,[0.04531672]
22,[0.04531672]
23,[0.04531672]
24,[0.04531672]
25,[0.04531672]
26,[0.04531672]
27,[0.04531672]
28,[0.04531672]
29,[0.04531672]
30,[0.04531672]
31,[0.04531672]
32,[0.04531672]
33,[0.04531672]
34,[0.04531672]
35,[0.04531672]
36,[0.04531672]
37,[0.04531672]
38,[0.04382386]
39,[0.04382386]
40,[0.04382386]
41,[0.04382386]
42,[0.04382386]
43,[0.04382386]
44,[0.04382386]
45,[0.02808911]
46,[0.02808911]
47,[0.02808911]
48,[0.02808911]
49,[0.02648663]
50,[0.01165845]
51,[0.01165845]
52,[0.01165845]
53,[0.01165845]
54,[0.01165845]
55,[0.01165845]
56,[0.01165845]
57,[0.01165845]
58,[0.01165845]
59,[0.01165845]
60,[0.01165845]
61,[0.01165845]
62,[0.01165845]
63,[0.01165845]
64,[0.01165845]
65,[0.01165845]
66,[0.01165845]
67,[0.01165845]
68,[0.01165845]
69,[0.01165845]
70,[0.01165845]
71,[0.01165845]
72,[0.01165845]
73,[0.01165845]
74,[0.01165845]
75,[0.01165845]
76,[0.01165845]
77,[0.01165845]
78,[0.01165845]
79,[0.01165845]
80,[0.01165845]
81,[0.00725247]
